Suburbs,Postcodes
Chermside,4032
Annerley,4103
Ashgrove,4060
Banyo,4014
Bellbowrie,4070
Bracken Ridge,4017
Toowong,4066
Brisbane,4000
Bulimba,4171
Calamvale,4116
Carina,4152
Carindale,4152
Brisbane City,4000
Coopers Plains,4108
Corinda,4075
MacGregor,4109
Sandgate,4017
Everton park,4053
Fairfield,4103
Forest Lake,4078
Upper Mount Gravatt,4122
Holland Park West,4121
Grange,4051
Paddington,4064
St Lucia,4067
Hamilton,4007
Fitzgibbon,4018
Holland Park,4121
Inala,4077
Indooroopilly,4068
Clayfield,4011
Kenmore,4069
Mitchelton,4053
Mt Gravatt,4122
Mt Ommaney,4074
New Farm,4005
Nundah,4012
Ascot,4007
West End,4101
Seventeen Mile Rocks,4073
Stones Corner,4120
Sunnybank Hills,4109
Wynnum,4178
Zillmere,4034
